Level_1,Level_2,Level_3,Level_4,Level_5,Level_6
clothing & accessories,clothing,women's clothing,swimwear,,
clothing & accessories,clothing,women's clothing,tops,suits & blazers,
clothing & accessories,clothing,women's clothing,bottoms,shorts,
clothing & accessories,clothing,women's clothing,tops,sweaters,
clothing & accessories,clothing,women's clothing,pants,,
clothing & accessories,clothing,women's clothing,skirts,,
clothing & accessories,clothing,women's clothing,dresses,,
clothing & accessories,clothing,women's clothing,lingerie & sleepwear,sleepwear,
clothing & accessories,clothing,women's clothing,lingerie & sleepwear,underwear,
clothing & accessories,clothing,women's clothing,lingerie & sleepwear,slips,
clothing & accessories,clothing,women's clothing,lingerie & sleepwear,bras,
clothing & accessories,clothing,women's clothing,lingerie & sleepwear,shapewear,
clothing & accessories,clothing,women's clothing,lingerie & sleepwear,,
clothing & accessories,clothing,women's clothing,jeans,,
clothing & accessories,clothing,women's clothing,jumpsuits & rompers,,
clothing & accessories,clothing,women's clothing,bottoms,leggings,
clothing & accessories,clothing,women's clothing,activewear,,
clothing & accessories,clothing,women's clothing,coats & jackets,,
clothing & accessories,clothing,women's clothing,,,
clothing & accessories,clothing,men's clothing,bottoms,underwear,
clothing & accessories,clothing,men's clothing,bottoms,swimwear,
clothing & accessories,clothing,men's clothing,tops,sweatshirts & hoodies,
clothing & accessories,clothing,men's clothing,t-shirts,,
clothing & accessories,clothing,men's clothing,sleepwear,,
clothing & accessories,clothing,men's clothing,suits,,
clothing & accessories,clothing,men's clothing,dress shirts,,
clothing & accessories,clothing,men's clothing,bottoms,jeans,
clothing & accessories,clothing,men's clothing,socks,,
clothing & accessories,clothing,men's clothing,shorts,,
clothing & accessories,clothing,men's clothing,tops,sweaters,
clothing & accessories,clothing,men's clothing,bottoms,pants,
clothing & accessories,clothing,men's clothing,activewear,,
clothing & accessories,clothing,men's clothing,blazers & sport coats,,
clothing & accessories,clothing,men's clothing,coats & jackets,,
clothing & accessories,clothing,men's clothing,tops,casual shirts,
clothing & accessories,clothing,men's clothing,,,
